"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1.66268E+18","Sun May 28 12:51:59 +0000 2023","3","@txtfromsoc @PEMKOT_SOLO Aku tak melu min..gon jl Pamugaran Utama Nusukan sing tembus neng Palang Joglo malah yo Rusak..aku wes laporan neng apk solo destination karo lapor mas wali yo urung eneng tanggapan..biasane sat set lo..kok iki ora..wes 3 minggu laporan lo..nek rusak.e wes arep set tahun.. https://t.co/rGDrJVN14M","1.6628E+18","https://pbs.twimg.com/media/FxN3VS5aYAAhcnR.jpg","txtfromsoc","in","Indonesia","1","3","0","https://x.com/M_KAEL/status/1662803905179455492","81823219","M_KAEL"
"1.79874E+18","Thu Jun 06 15:45:48 +0000 2024","7","Any suggestions for safe travel destinations for solo women travellers? Preferably visa on arrival for Indian citizens #TravelTips #TravelInspiration","1.79874E+18","","","en","","0","8","0","https://x.com/apkcodes/status/1798743100749422853","8.63828E+17","apkcodes"
"1.78427E+18","Tue May 28 15:00:10 +0000 2024","0","@oholysprite @EvolvedNaanX Min tntg apk Solo Destination bisa gak ya jadi narsum pengguna aplikasinya?makasii","1.79547E+18","","oholysprite","in","","0","1","0","https://x.com/arat72054/status/1795470123769512265","1.7906E+18","arat72054"
"1.22304E+18","Fri Jan 31 00:15:16 +0000 2020","1","Haiii guyssss.... Sangat amat memohon bantuan kepada Allah SWT dan teman-teman semua Untuk teman-teman semua mendownload Apk Solo Destination dan mendengarkan siaran kami di Radio Konata @radioanakkonata Kami https://t.co/XjiWf5f0dx","1.22304E+18","","","in","Surakarta, Jawa Tengah","0","0","0","https://x.com/SoloThok/status/1223036990670753792","1376369066","SoloThok"
